issn,member,created_date
2379-1357,381,2021-12-10
2447-780X,22151,2021-12-10
0002-7766,311,2021-12-10
2146-9016,3306,2021-12-10
2312-8313,9635,2021-12-10
2337-6236,5716,2021-12-10
2238-7234,11238,2021-12-10
1999-1320,1963,2021-12-10
0853-2451,8603,2021-12-10
1955-2432,2399,2021-12-10
2470-4857,100,2021-12-10
0100-1574,530,2021-12-10
2686-8784,22929,2021-12-10
2614-0241,19105,2021-12-10
2411-3093,9313,2021-12-10
2037-6588,12144,2021-12-10
1867-030X,374,2021-12-10
2146-1740,6724,2021-12-10
2447-9772,4873,2021-12-10
2683-5665,3964,2021-12-10
0216-4019,19105,2021-12-10
0356-3677,29316,2021-12-10
1989-3787,10411,2021-12-10
2618-6713,12225,2021-12-10
2593-0338,4790,2021-12-10
2306-9805,22931,2021-12-10
1812-7886,10362,2021-12-10
2723-9284,17149,2021-12-10
1809-4929,31278,2021-12-10
2764-1813,9818,2021-12-10
2675-3456,28113,2021-12-10
2797-1252,31815,2021-12-10
1355-770X,56,2021-12-10
1735-6865,297,2021-12-10
2412-2106,17927,2021-12-10
2153-0416,200,2021-12-10
1414-431X,530,2021-12-10
1468-2672,286,2021-12-10
2169-2793,179,2021-12-10
2519-0326,11253,2021-12-10
1354-571X,301,2021-12-10
1888-7546,18532,2021-12-10
0023-2130,11323,2021-12-10
2193-3685,374,2021-12-10
0035-1776,50,2021-12-10
1462-4621,378,2021-12-10
2526-7035,3843,2021-12-10
2190-622X,101,2021-12-10
2667-0747,78,2021-12-10
2616-7948,17120,2021-12-10
2179-8966,530,2021-12-10
2407-6872,28154,2021-12-10
1547-7363,14,2021-12-10
0044-4642,9346,2021-12-10
2662-6039,297,2021-12-10
2410-3764,7284,2021-12-10
2541-593X,14927,2021-12-10
2192-4287,374,2021-12-10
2541-2191,20349,2021-12-10
2058-5071,6605,2021-12-10
1980-5470,530,2021-12-10
1226-0401,11585,2021-12-10
2658-6983,7778,2021-12-10
2673-4362,1968,2021-12-10
1450-7552,3964,2021-12-10
2683-4693,3964,2021-12-10
2590-8456,31980,2021-12-10
2075-0846,10239,2021-12-10
2548-8716,19417,2021-12-10
2713-3397,8249,2021-12-10
2663-1296,17481,2021-12-10
2236-885X,10881,2021-12-10
1561-0713,26282,2021-12-10
2798-9208,18425,2021-12-10
0104-4036,530,2021-12-10
1089-2680,179,2021-12-10
1060-1872,78,2021-12-10
1470-112X,301,2021-12-10
1089-2516,78,2021-12-10
2222-0518,1963,2021-12-10
1387-3326,297,2021-12-10
1981-2256,530,2021-12-10
1607-8055,301,2021-12-10
1741-8151,378,2021-12-10
1750-3140,301,2021-12-10
1573-6105,140,2021-12-10
2641-4368,281,2021-12-10
1981-4100,6941,2021-12-10
2635-0181,140,2021-12-10
1529-4145,301,2021-12-10
1225-0554,5491,2021-12-10
1527-4268,276,2021-12-10
0019-7262,374,2021-12-10
1439-3832,194,2021-12-10
2211-2723,297,2021-12-10
1756-3607,8934,2021-12-10
2662-2009,297,2021-12-10
2044-4958,378,2021-12-10
1598-6675,9200,2021-12-10
2431-210X,2399,2021-12-10
1314-2593,32989,2021-12-10
2358-3231,3790,2021-12-10
0165-7305,50,2021-12-10
2539-0856,22756,2021-12-10
2067-3205,6456,2021-12-10
2706-9257,30725,2021-12-10
2415-0495,30336,2021-12-10
2054-6203,18914,2021-12-10
2305-9389,17914,2021-12-10
2809-0594,23520,2021-12-10
1651-775X,24850,2021-12-10
2807-1689,18425,2021-12-10
2768-5985,32461,2021-12-10
1907-3240,26826,2021-12-10
1466-1845,301,2021-12-10
0946-7165,3821,2021-12-10
1478-1913,311,2021-12-10
0136-7463,11445,2021-12-10
1867-1772,297,2021-12-10
2288-7253,5689,2021-12-10
0925-1030,297,2021-12-10
1573-9139,297,2021-12-10
0309-166X,286,2021-12-10
0077-6297,301,2021-12-10
1432-0835,297,2021-12-10
1533-2500,311,2021-12-10
1745-3054,301,2021-12-10
1803-6465,5546,2021-12-10
1976-3824,297,2021-12-10
1613-7566,297,2021-12-10
1689-765X,10233,2021-12-10
1559-5749,7412,2021-12-10
1678-3921,530,2021-12-10
2211-5056,2581,2021-12-10
1576-3420,5859,2021-12-10
2090-7834,98,2021-12-10
1881-5286,3733,2021-12-10
2211-811X,297,2021-12-10
2067-3264,6456,2021-12-10
0902-2767,7604,2021-12-10
0147-5479,56,2021-12-10
2588-0373,10839,2021-12-10
2767-035X,311,2021-12-10
2410-3748,20951,2021-12-10
2655-4801,33306,2021-12-10
2218-8711,17119,2021-12-10
0987-6014,2399,2021-12-10
1976-5509,28486,2021-12-10
2450-7245,23092,2021-12-10
1995-5472,5458,2021-12-10
1848-9109,9873,2021-12-10
2236-8868,10881,2021-12-10
2310-3825,30130,2021-12-10
2338-462X,23469,2021-12-10
2350-4250,28869,2021-12-10
2211-8993,50,2021-12-10
2071-1190,7928,2021-12-10
2334-8356,3964,2021-12-10
2667-8713,17959,2021-12-10
2662-1312,297,2021-12-10
2512-5923,10770,2021-12-10
2723-889X,17149,2021-12-10
2737-6125,19254,2021-12-10
2526-656X,31278,2021-12-10
2346-3279,31980,2021-12-10
2770-5560,16669,2021-12-10
2367-8410,32989,2021-12-10
0719-384X,31679,2021-12-10
0068-113X,56,2021-12-10
1744-5035,301,2021-12-10
1095-8339,286,2021-12-10
1614-3116,297,2021-12-10
1726-1686,301,2021-12-10
2158-2866,3992,2021-12-10
1573-2487,7437,2021-12-10
1532-530X,301,2021-12-10
0966-0461,5130,2021-12-10
1438-3276,297,2021-12-10
2096-5540,276,2021-12-10
2471-0172,10954,2021-12-10
1740-4681,50,2021-12-10
1673-1905,297,2021-12-10
2168-930X,301,2021-12-10
2152-2057,613,2021-12-10
1745-2554,179,2021-12-10
0024-8525,297,2021-12-10
2072-7623,10246,2021-12-10
1504-3088,7604,2021-12-10
2237-101X,530,2021-12-10
2007-8900,11584,2021-12-10
1950-5701,2399,2021-12-10
2581-4796,9296,2021-12-10
2542-8349,297,2021-12-10
1475-7435,378,2021-12-10
2709-5533,26241,2021-12-10
1791-4914,7717,2021-12-10
1984-8900,22151,2021-12-10
2155-1162,3176,2021-12-10
2630-5240,12007,2021-12-10
2384-0900,7189,2021-12-10
2601-5773,19742,2021-12-10
2349-5987,6253,2021-12-10
1999-0219,1963,2021-12-10
1431-5041,374,2021-12-10
2311-4096,7005,2021-12-10
2641-9645,2796,2021-12-10
2532-6848,12144,2021-12-10
2307-5376,16794,2021-12-10
1439-880X,3821,2021-12-10
2707-5354,23478,2021-12-10
2687-6590,31075,2021-12-10
2236-0603,3790,2021-12-10
1612-166X,181,2021-12-10
1560-4071,6499,2021-12-10
2287-3341,4578,2021-12-10
2000-8686,301,2021-12-10
2620-0406,3964,2021-12-10
1532-785X,301,2021-12-10
2494-1271,8852,2021-12-10
0131-2227,8681,2021-12-10
1793-6691,219,2021-12-10
1573-059X,297,2021-12-10
1755-831X,378,2021-12-10
2225-1545,25895,2021-12-10
1809-9823,530,2021-12-10
1088-0224,24492,2021-12-10
2406-095X,1078,2021-12-10
2008-2304,297,2021-12-10
1940-6347,311,2021-12-10
2160-5920,2751,2021-12-10
0100-204X,530,2021-12-10
2397-0642,297,2021-12-10
0018-2702,73,2021-12-10
2221-433X,1963,2021-12-10
0013-872X,1741,2021-12-10
2692-4706,6959,2021-12-10
1613-1150,374,2021-12-10
1911-9593,8651,2021-12-10
1775-3546,2399,2021-12-10
2409-1944,24541,2021-12-10
2617-4030,17120,2021-12-10
1539-6746,2902,2021-12-10
1747-1796,311,2021-12-10
2011-0839,4832,2021-12-10
0023-432X,16018,2021-12-10
2085-1545,12130,2021-12-10
1740-9705,311,2021-12-10
1582-5450,26839,2021-12-10
1983-8239,4745,2021-12-10
2348-8336,6253,2021-12-10
1976-1023,16317,2021-12-10
1868-789X,23521,2021-12-10
2619-4791,10728,2021-12-10
2392-8956,8987,2021-12-10
0555-2648,12225,2021-12-10
1450-9148,3964,2021-12-10
2317-8086,4873,2021-12-10
1969-6434,2399,2021-12-10
2406-3037,3964,2021-12-10
2775-8079,10334,2021-12-10
1226-3060,15946,2021-12-10
2615-2967,9808,2021-12-10
1332-4853,9873,2021-12-10
0352-5678,7806,2021-12-10
1810-6781,6846,2021-12-10
2661-6769,9322,2021-12-10
2452-3364,3306,2021-12-10
2798-2513,29457,2021-12-10
1752-0754,301,2021-12-13
2468-256X,78,2021-12-13
1542-4774,286,2021-12-13
2210-3988,297,2021-12-13
1615-6692,297,2021-12-13
1087-0415,301,2021-12-13
2052-174X,311,2021-12-13
1477-0989,179,2021-12-13
1573-2851,297,2021-12-13
0268-1153,286,2021-12-13
0300-8207,301,2021-12-13
1611-6461,194,2021-12-13
1676-689X,7777,2021-12-13
2194-878X,3145,2021-12-13
2682-4809,9060,2021-12-13
1932-9261,100,2021-12-13
2194-0525,297,2021-12-13
2042-8901,175,2021-12-13
2548-2149,8420,2021-12-13
1331-1441,11118,2021-12-13
1178-6221,179,2021-12-13
1411-9420,9411,2021-12-13
1474-0001,56,2021-12-13
1813-7083,7088,2021-12-13
2090-2581,9060,2021-12-13
2090-3308,9060,2021-12-13
2196-8225,16089,2021-12-13
2145-8464,7634,2021-12-13
2636-2813,9060,2021-12-13
2695-1819,28598,2021-12-13
2090-0813,9060,2021-12-13
2548-611X,11660,2021-12-13
2357-0016,9060,2021-12-13
2536-9091,9060,2021-12-13
2198-2430,23521,2021-12-13
1336-9202,30264,2021-12-13
2665-9174,78,2021-12-13
1229-0084,7397,2021-12-13
2179-443X,2869,2021-12-13
2570-6179,22671,2021-12-13
2356-8356,9060,2021-12-13
2466-0205,23648,2021-12-13
2735-4946,9060,2021-12-13
2194-363X,16089,2021-12-13
2735-5632,9060,2021-12-13
2735-3141,9060,2021-12-13
0026-0827,30071,2021-12-13
2687-0819,26708,2021-12-13
1303-8605,11192,2021-12-13
2415-7236,10026,2021-12-13
2616-6585,16924,2021-12-13
1855-6302,6672,2021-12-13
2783-1590,28750,2021-12-13
2579-3276,9984,2021-12-13
2770-5544,16669,2021-12-13
2616-8685,6082,2021-12-13
1978-3167,28226,2021-12-13
2567-5966,7091,2021-12-13
2542-1913,7758,2021-12-13
0805-083X,7604,2021-12-13
1865-4827,297,2021-12-13
2405-7177,32455,2021-12-13
2524-4728,297,2021-12-13
1094-8074,11409,2021-12-13
0269-9052,301,2021-12-13
1557-3028,301,2021-12-13
1043-1810,78,2021-12-13
0177-5103,1913,2021-12-13
2528-9705,28733,2021-12-13
1930-6962,301,2021-12-13
2414-9152,8544,2021-12-13
2682-4868,9060,2021-12-13
2636-3402,9060,2021-12-13
2636-3186,9060,2021-12-13
2213-3585,965,2021-12-13
0748-321X,1696,2021-12-13
2537-0162,9082,2021-12-13
2395-3799,179,2021-12-13
2521-0394,17108,2021-12-13
2582-1318,3299,2021-12-13
1549-3636,2204,2021-12-13
2357-0334,9060,2021-12-13
2617-1864,11115,2021-12-13
2640-7590,6959,2021-12-13
1178-7104,301,2021-12-13
2682-2679,9060,2021-12-13
2676-296X,7770,2021-12-13
1535-3605,4442,2021-12-13
2636-3909,9060,2021-12-13
2535-2660,3641,2021-12-13
2616-664X,6075,2021-12-13
1617-5247,31682,2021-12-13
2064-5147,5954,2021-12-13
2537-0634,9060,2021-12-13
2528-8253,23467,2021-12-13
2526-9038,8973,2021-12-13
2735-346X,9060,2021-12-13
2614-2031,11411,2021-12-13
2214-529X,297,2021-12-13
2735-5551,9060,2021-12-13
2603-3593,19039,2021-12-13
2050-070X,358,2021-12-13
2682-4191,9060,2021-12-13
1314-8524,31592,2021-12-13
1582-6511,31517,2021-12-13
2196-8004,16089,2021-12-13
1302-4973,3434,2021-12-13
1053-8259,179,2021-12-13
1557-9085,278,2021-12-13
2164-0637,301,2021-12-13
1864-6433,297,2021-12-13
0957-9664,311,2021-12-13
0543-1972,297,2021-12-13
0960-8788,301,2021-12-13
2213-3070,2581,2021-12-13
2090-0791,9060,2021-12-13
1536-7967,301,2021-12-13
1094-2939,22,2021-12-13
1479-5752,301,2021-12-13
2510-5183,8638,2021-12-13
1550-6878,301,2021-12-13
2195-6405,297,2021-12-13
0038-2876,73,2021-12-13
2535-1915,9060,2021-12-13
2158-2041,301,2021-12-13
0368-6418,10026,2021-12-13
1984-5537,4745,2021-12-13
2326-7852,278,2021-12-13
2346-3414,6285,2021-12-13
1755-0874,301,2021-12-13
2356-8372,9060,2021-12-13
1522-8835,301,2021-12-13
2090-4258,9060,2021-12-13
0266-6286,301,2021-12-13
0130-3864,17106,2021-12-13
1474-0036,10449,2021-12-13
2064-5031,5954,2021-12-13
2543-8476,3689,2021-12-13
2682-4728,9060,2021-12-13
0037-6779,56,2021-12-13
2691-1337,301,2021-12-13
1809-189X,4745,2021-12-13
1110-1571,9060,2021-12-13
2735-5306,9060,2021-12-13
2415-0479,30336,2021-12-13
2322-3243,28750,2021-12-13
2050-7461,11462,2021-12-13
2791-8300,26788,2021-12-13
1413-8409,9857,2021-12-13
2664-6005,5892,2021-12-13
2526-8155,3948,2021-12-13
2090-9829,9060,2021-12-13
2617-0280,12310,2021-12-13
2544-8951,374,2021-12-13
2345-4229,28750,2021-12-13
2549-2675,9984,2021-12-13
1439-4367,16089,2021-12-13
2764-2615,25685,2021-12-13
2196-8764,16089,2021-12-13
2301-7481,10208,2021-12-13
1052-5173,257,2021-12-13
1573-0484,297,2021-12-13
2459-1777,5966,2021-12-13
1573-7829,297,2021-12-13
1788-6120,425,2021-12-13
0160-9327,78,2021-12-13
2027-534X,3246,2021-12-13
2396-8370,297,2021-12-13
1939-8697,200,2021-12-13
0005-0067,301,2021-12-13
2052-1758,311,2021-12-13
2332-3507,200,2021-12-13
2602-8085,18776,2021-12-13
1553-3468,2204,2021-12-13
2365-7588,297,2021-12-13
1677-7298,10114,2021-12-13
1545-1577,22,2021-12-13
1608-4217,2204,2021-12-13
1932-927X,100,2021-12-13
1741-4857,311,2021-12-13
1557-2153,297,2021-12-13
1177-083X,301,2021-12-13
2222-4173,22149,2021-12-13
1530-9304,281,2021-12-13
0020-5907,276,2021-12-13
0256-0909,179,2021-12-13
1536-7975,301,2021-12-13
0034-5318,2673,2021-12-13
2536-9458,9060,2021-12-13
2682-3330,9060,2021-12-13
1657-1959,7870,2021-12-13
1805-4412,21073,2021-12-13
1568-2846,297,2021-12-13
0102-762X,10019,2021-12-13
2196-2103,7091,2021-12-13
2055-3498,426,2021-12-13
2683-9695,19986,2021-12-13
2682-1958,9060,2021-12-13
2148-5984,6892,2021-12-13
1641-4233,8044,2021-12-13
2636-3097,9060,2021-12-13
1993-3738,32068,2021-12-13
2658-5561,29955,2021-12-13
0188-6657,8215,2021-12-13
2722-5569,8420,2021-12-13
2196-7989,16089,2021-12-13
1803-6104,3846,2021-12-13
2785-9762,9060,2021-12-13
2735-4008,9060,2021-12-13
2526-3781,28677,2021-12-13
2703-1713,10226,2021-12-13
2192-8703,297,2021-12-13
2667-6850,31255,2021-12-13
2716-7097,12337,2021-12-13
1573-4803,297,2021-12-13
1435-4373,297,2021-12-13
1540-3548,301,2021-12-13
1521-9488,286,2021-12-13
2735-4636,9060,2021-12-13
2090-374X,9060,2021-12-13
2617-846X,10026,2021-12-13
0959-3993,297,2021-12-13
2158-0103,301,2021-12-13
1464-0619,301,2021-12-13
2314-8918,9060,2021-12-13
0260-6755,301,2021-12-13
2373-633X,6139,2021-12-13
2399-1623,11943,2021-12-13
1574-0196,56,2021-12-13
1469-9370,301,2021-12-13
1109-3099,297,2021-12-13
1740-5610,301,2021-12-13
1982-5765,530,2021-12-13
2682-4612,9060,2021-12-13
1024-6029,301,2021-12-13
2154-8641,8112,2021-12-13
2050-3245,179,2021-12-13
2553-8756,3904,2021-12-13
2587-9359,7284,2021-12-13
1549-3644,2204,2021-12-13
1362-704X,301,2021-12-13
2636-3062,9060,2021-12-13
1547-0644,301,2021-12-13
2006-9782,3908,2021-12-13
1975-4051,8664,2021-12-13
2413-3051,6689,2021-12-13
2735-3435,9060,2021-12-13
2165-0349,301,2021-12-13
1217-8950,425,2021-12-13
2617-9105,12310,2021-12-13
2220-3230,2060,2021-12-13
0039-3169,297,2021-12-13
0044-748X,17106,2021-12-13
2500-0268,20858,2021-12-13
2090-2646,9060,2021-12-13
2469-4053,10791,2021-12-13
2327-7033,2432,2021-12-13
2536-9814,9060,2021-12-13
2617-0345,2204,2021-12-13
2232-2825,18168,2021-12-13
2735-5233,9060,2021-12-13
2735-3532,9060,2021-12-13
2467-9356,30742,2021-12-13
2340-924X,17608,2021-12-13
2422-118X,9668,2021-12-13
2543-8050,374,2021-12-13
2510-442X,297,2021-12-13
2682-3632,9060,2021-12-13
0045-9453,4927,2021-12-13
2641-6719,19077,2021-12-13
2621-6450,11411,2021-12-13
2752-6933,31607,2021-12-13
2196-8020,16089,2021-12-13
2809-218X,8420,2021-12-13
2805-2943,9060,2021-12-13
2455-7471,179,2021-12-13
0022-2461,297,2021-12-13
1751-1402,301,2021-12-13
0262-6667,301,2021-12-13
1471-9827,311,2021-12-13
2777-0710,4386,2021-12-13
1863-5407,1913,2021-12-13
0964-5284,179,2021-12-13
2682-342X,9060,2021-12-13
1794-631X,18352,2021-12-13
1089-4160,301,2021-12-13
2456-7043,4694,2021-12-13
1758-1869,1057,2021-12-13
1479-4403,20105,2021-12-13
2051-1825,301,2021-12-13
2357-0245,9060,2021-12-13
2528-9640,8828,2021-12-13
2155-6458,311,2021-12-13
2070-2620,14412,2021-12-13
2735-4105,9060,2021-12-13
2326-7836,278,2021-12-13
0016-8890,301,2021-12-13
2788-7421,23314,2021-12-13
2326-9162,2432,2021-12-13
1556-7575,311,2021-12-13
2465-9541,5022,2021-12-13
2730-6453,297,2021-12-13
2735-3761,9060,2021-12-13
2287-8599,28491,2021-12-13
2081-2264,7224,2021-12-13
2460-8572,11796,2021-12-13
2587-4713,22982,2021-12-13
2735-590X,9060,2021-12-13
1214-813X,3846,2021-12-13
1588-2713,425,2021-12-13
2662-2300,297,2021-12-13
2056-3043,301,2021-12-13
2083-6007,17093,2021-12-13
2524-4736,297,2021-12-13
2633-4321,6588,2021-12-13
2537-6659,10226,2021-12-13
2280-9848,297,2021-12-13
2667-6052,31007,2021-12-13
2745-1690,27956,2021-12-13
1110-5844,9060,2021-12-13
2719-2393,2473,2021-12-13
2503-3611,9640,2021-12-13
1804-8765,32669,2021-12-13
2765-4419,8664,2021-12-13
1090-0233,78,2021-12-13
1868-5137,297,2021-12-13
0920-8542,297,2021-12-13
0953-1513,311,2021-12-13
1360-2381,301,2021-12-13
1042-444X,78,2021-12-13
1939-8603,286,2021-12-13
1936-6426,297,2021-12-13
1053-8712,301,2021-12-13
1138-7548,297,2021-12-13
1559-1476,179,2021-12-13
2054-6750,311,2021-12-13
0266-8734,301,2021-12-13
2193-2697,297,2021-12-13
2196-632X,3145,2021-12-13
1110-0621,78,2021-12-13
2656-470X,8420,2021-12-13
2382-9230,374,2021-12-13
1549-3652,2204,2021-12-13
2785-9517,9060,2021-12-13
1678-2089,8146,2021-12-13
2090-0821,9060,2021-12-13
1461-7439,179,2021-12-13
1573-3750,297,2021-12-13
2537-0650,9060,2021-12-13
1941-3300,1337,2021-12-13
0321-4044,21490,2021-12-13
2682-3284,9060,2021-12-13
2651-3153,2811,2021-12-13
1171-042X,11224,2021-12-13
2314-5560,9060,2021-12-13
2733-8045,7682,2021-12-13
2049-5404,8934,2021-12-13
2456-4400,21101,2021-12-13
2812-4936,9060,2021-12-13
2735-3400,9060,2021-12-13
1628-6731,2399,2021-12-13
2735-3672,9060,2021-12-13
2086-7751,11165,2021-12-13
2251-6484,28750,2021-12-13
2721-3560,5129,2021-12-13
1659-4991,9756,2021-12-13
2774-9126,23356,2021-12-13
2682-2970,9060,2021-12-13
2683-9636,19986,2021-12-13
2703-8866,7604,2021-12-13
2658-2848,7224,2021-12-13
2682-6704,30334,2021-12-13
2706-8862,33115,2021-12-13
2380-5706,9154,2021-12-13
2613-9685,9984,2021-12-13
2749-6228,30611,2021-12-13
1464-5327,301,2021-12-13
2202-8323,311,2021-12-13
1042-8275,3658,2021-12-13
1616-1580,1913,2021-12-13
1540-6210,311,2021-12-13
1984-0063,3948,2021-12-13
2191-0278,374,2021-12-13
2515-7647,266,2021-12-13
1879-5226,2581,2021-12-13
0022-1309,301,2021-12-13
2064-5279,1835,2021-12-13
1461-7463,179,2021-12-13
2356-8550,9060,2021-12-13
1175-8783,301,2021-12-13
0023-2815,30071,2021-12-13
1741-5446,311,2021-12-13
1757-5664,311,2021-12-13
2005-3673,2474,2021-12-13
2535-1710,9060,2021-12-13
1936-2722,311,2021-12-13
2327-3429,2432,2021-12-13
2520-0518,8611,2021-12-13
0335-7899,2273,2021-12-13
1390-6631,6609,2021-12-13
1983-2605,2979,2021-12-13
2463-9575,18168,2021-12-13
2314-5226,9060,2021-12-13
2735-3494,9060,2021-12-13
1986-4558,8067,2021-12-13
2537-0952,9060,2021-12-13
2735-4784,9060,2021-12-13
1865-4827,93,2021-12-13
2697-3391,18776,2021-12-13
2211-2766,297,2021-12-13
2682-468X,9060,2021-12-13
1971-8543,32390,2021-12-13
2524-7638,297,2021-12-13
2714-898X,29370,2021-12-13
2201-3008,5587,2021-12-13
2603-3801,32989,2021-12-13
0937-3349,25732,2021-12-13
2145-194X,27956,2021-12-13
2227-0280,21116,2021-12-13
2448-8232,8215,2021-12-13
0322-788X,32669,2021-12-13
1359-107X,311,2021-12-13
1541-1087,301,2021-12-13
0114-0671,301,2021-12-13
0277-5212,297,2021-12-13
2470-1246,278,2021-12-13
1572-8315,297,2021-12-13
1058-5893,200,2021-12-13
1946-3170,286,2021-12-13
1753-6715,378,2021-12-13
1045-4403,613,2021-12-13
0975-5241,17000,2021-12-13
1881-4689,2003,2021-12-13
1452-3981,8561,2021-12-13
2212-1358,297,2021-12-13
2212-697X,965,2021-12-13
1684-4866,5968,2021-12-13
2520-3991,27466,2021-12-13
1738-0391,9915,2021-12-13
2029-7947,2209,2021-12-13
2353-7175,10391,2021-12-13
1753-6723,378,2021-12-13
2195-4763,297,2021-12-13
1419-8126,425,2021-12-13
2411-3190,16214,2021-12-13
1980-6248,530,2021-12-13
2682-2636,9060,2021-12-13
2090-3766,9060,2021-12-13
0869-5636,9006,2021-12-13
1413-4063,10019,2021-12-13
2636-3232,9060,2021-12-13
1755-2850,8934,2021-12-13
2735-4911,9060,2021-12-13
2312-0665,19234,2021-12-13
2317-773X,3790,2021-12-13
2682-2601,9060,2021-12-13
1692-5114,6169,2021-12-13
2072-8107,9918,2021-12-13
2674-032X,1968,2021-12-13
2661-3395,219,2021-12-13
2674-1024,1968,2021-12-13
2576-1226,23227,2021-12-13
2790-0592,6276,2021-12-13
1473-4222,297,2021-12-13
1361-374X,311,2021-12-13
0144-1647,301,2021-12-13
1742-9994,297,2021-12-13
1943-6246,297,2021-12-13
1557-8666,278,2021-12-13
1744-4179,301,2021-12-13
1460-8944,301,2021-12-13
2181-8215,21693,2021-12-13
0010-8650,19101,2021-12-13
2147-673X,2811,2021-12-13
0023-9054,4194,2021-12-13
2535-0730,2258,2021-12-13
1793-8171,301,2021-12-13
1879-9264,1757,2021-12-13
0034-0553,311,2021-12-13
1751-4223,735,2021-12-13
1751-7419,301,2021-12-13
1740-021X,301,2021-12-13
0368-4814,7284,2021-12-13
2093-758X,2474,2021-12-13
2524-6992,297,2021-12-13
2296-5009,297,2021-12-13
2090-0856,9060,2021-12-13
2165-0357,301,2021-12-13
1557-3079,281,2021-12-13
1848-638X,11118,2021-12-13
2536-9954,9060,2021-12-13
2395-0471,17108,2021-12-13
2632-4369,179,2021-12-13
2241-7702,15188,2021-12-13
2191-5644,297,2021-12-13
2090-2093,98,2021-12-13
2332-3493,200,2021-12-13
2199-1073,297,2021-12-13
2090-7125,9060,2021-12-13
0021-2776,2607,2021-12-13
1043-4070,4442,2021-12-13
2090-0511,3407,2021-12-13
2056-3035,301,2021-12-13
2735-4873,9060,2021-12-13
2537-0030,9060,2021-12-13
2735-3281,9060,2021-12-13
2187-3240,5661,2021-12-13
1554-9658,297,2021-12-13
2281-0854,297,2021-12-13
1759-3441,311,2021-12-13
2327-7041,2432,2021-12-13
2543-9987,10391,2021-12-13
2332-1806,2751,2021-12-13
1884-1236,5588,2021-12-13
2014-8410,3612,2021-12-13
2410-1893,7136,2021-12-13
2633-4402,6221,2021-12-13
1850-3578,14664,2021-12-13
2791-7835,5966,2021-12-13
2536-989X,9060,2021-12-13
0032-7034,16089,2021-12-13
1214-2158,21073,2021-12-13
2602-3873,30702,2021-12-13
2543-5485,8959,2021-12-13
2307-6127,10030,2021-12-13
2690-6023,301,2021-12-13
2538-1563,7770,2021-12-13
2682-325X,9060,2021-12-13
2530-9455,2900,2021-12-13
2735-4822,9060,2021-12-13
2803-9963,10161,2021-12-13
2090-5955,9060,2021-12-13
1436-9850,16089,2021-12-13
2616-6526,21809,2021-12-13
2684-6500,12933,2021-12-13
1949-0194,2204,2021-12-13
0010-3853,297,2021-12-13
2329-5937,2432,2021-12-13
1740-388X,297,2021-12-13
2150-3435,301,2021-12-13
1862-5347,297,2021-12-13
2682-3292,9060,2021-12-13
2198-1639,297,2021-12-13
2149-5807,2811,2021-12-13
2326-9170,2432,2021-12-13
2652-550X,24732,2021-12-13
0885-7482,297,2021-12-13
2189-8804,6340,2021-12-13
1467-3010,311,2021-12-13
8755-4615,78,2021-12-13
1874-7876,297,2021-12-13
2357-061X,9060,2021-12-13
1560-5175,29292,2021-12-13
1474-9734,301,2021-12-13
2636-2775,9060,2021-12-13
2212-134X,297,2021-12-13
1865-5467,297,2021-12-13
2196-6443,297,2021-12-13
2682-485X,9060,2021-12-13
2357-0288,9060,2021-12-13
2663-4473,9060,2021-12-13
1740-7931,301,2021-12-13
0956-7933,56,2021-12-13
1472-4790,297,2021-12-13
1528-9117,276,2021-12-13
0079-1350,297,2021-12-13
2516-8142,140,2021-12-13
2510-4438,297,2021-12-13
2537-107X,9060,2021-12-13
1460-1559,8934,2021-12-13
1557-4555,2204,2021-12-13
2090-2417,9060,2021-12-13
2636-3615,9060,2021-12-13
1414-4077,530,2021-12-13
0941-8849,297,2021-12-13
2618-8708,17614,2021-12-13
2079-4401,31094,2021-12-13
2587-1854,6702,2021-12-13
2542-2197,29675,2021-12-13
2347-6311,179,2021-12-13
1021-447X,6689,2021-12-13
2722-1857,25992,2021-12-13
2658-3143,10196,2021-12-13
2089-5879,9237,2021-12-13
2176-6649,3319,2021-12-13
2664-9837,6188,2021-12-13
1540-336X,276,2021-12-13
0023-4249,22895,2021-12-13
1951-6711,8257,2021-12-13
2614-3895,9984,2021-12-13
2064-7816,7598,2021-12-13
2735-5527,9060,2021-12-13
2090-5424,9060,2021-12-13
0018-9413,263,2021-12-13
2689-0526,11549,2021-12-13
1808-2785,3948,2021-12-13
1677-1222,10019,2021-12-13
2313-2841,7375,2021-12-13
1975-7697,20390,2021-12-13
1811-0193,31950,2021-12-13
0861-3710,31592,2021-12-13
2355-3987,9237,2021-12-13
0028-0054,9060,2021-12-13
2745-763X,17676,2021-12-13
2735-3257,9060,2021-12-13
2735-3389,9060,2021-12-13
0172-5505,16089,2021-12-13
2667-2596,78,2021-12-13
0091-3367,301,2021-12-13
1006-706X,297,2021-12-13
2682-4469,9060,2021-12-13
2682-4140,9060,2021-12-13
0163-755X,286,2021-12-13
2191-5652,297,2021-12-13
1573-8906,297,2021-12-13
1473-4230,297,2021-12-13
1573-1626,297,2021-12-13
1747-6526,735,2021-12-13
1062-7987,56,2021-12-13
0969-1413,179,2021-12-13
0968-3445,179,2021-12-13
1477-4593,286,2021-12-13
1726-670X,16188,2021-12-13
1323-8930,78,2021-12-13
0006-3185,200,2021-12-13
1465-3648,286,2021-12-13
